"id","director","scenario","shots","music","movie_id"
1,"Francis Ford Coppola","Francis Ford Coppola","Gordon Willis","Carmine Coppola",1
2,"Joachim Rønning","Jeff Nathanson","Paul Cameron","Geoff Zanelli",2
3,"Steven Spielberg","Willard Huyck","Douglas Slocombe","John Williams",3
4,"Steven Spielberg","Jeffrey Boam","Douglas Slocombe","John Williams",4
5,"Gareth Edwards","Chris Weitz","Greig Fraser","Michael Giacchino",5
6,"George Lucas","George Lucas","David Tattersall","John Williams",6
7,"George Lucas","George Lucas","David Tattersall","John Williams",7
8,"George Lucas","George Lucas","David Tattersall","John Williams",8
9,"Steven Spielberg","Lawrence Kasdan","Douglas Slocombe","John Williams",9
10,"Peter Jackson","Fran Walsh","Andrew Lesnie","Howard Shore",10
